Mn,Co,Fe,Oxygen Diffusion Coefficient - log(D*)_400C (cm^2/s)
0.11683,0.64778,0.23539,-13.2970846
0.11683,0.64778,0.23539,-13.27224165
0.11994,0.6094,0.27066,-13.24238308
0.11994,0.6094,0.27066,-13.27794552
0.08189,0.57488,0.34323,-13.17941895
0.43868,0.41364,0.14767,-14.70530677
0.4112,0.44501,0.14379,-14.41321472
0.37403,0.46904,0.15693,-14.04455953
0.37403,0.46904,0.15693,-13.88574273
0.3563,0.49071,0.15299,-13.76087077
0.32728,0.51816,0.15456,-13.71704499
0.32728,0.51816,0.15456,-13.59132765
0.27053,0.56953,0.15994,-13.50103505
0.25084,0.58854,0.16062,-13.34370243
0.21765,0.63119,0.15116,-13.26127968
0.21765,0.63119,0.15116,-13.25232257
0.19191,0.65161,0.15648,-13.22068568
0.14496,0.68936,0.16568,-13.24743685
0.14496,0.68936,0.16568,-13.2501362
0.12207,0.6953,0.18263,-13.26732083
0.12207,0.6953,0.18263,-13.29855377
0.1104,0.68887,0.20073,-13.31182231
0.09399,0.66572,0.24029,-13.28404176
0.09399,0.66572,0.24029,-13.36413039
0.09237,0.61007,0.29756,-13.24964282
0.10672,0.67073,0.22255,-13.27937274
0.08355,0.71023,0.20622,-13.22203336
0.0949,0.7335,0.1716,-13.28481591
0.10111,0.72017,0.17872,-13.3880007
0.1183,0.72076,0.16094,-13.36867497
0.11834,0.7262,0.15546,-13.2120184
0.14341,0.70265,0.15394,-13.22142407
0.16105,0.69709,0.14186,-13.24217672
0.16665,0.68138,0.15197,-13.18038303
0.18873,0.66158,0.14969,-13.22281323
0.22002,0.6338,0.14618,-13.2651146
0.23086,0.62067,0.14847,-13.3993102
0.25007,0.59545,0.15448,-13.45866917
0.28406,0.56595,0.14999,-13.53443276
0.30383,0.55314,0.14303,-13.61058759
0.32348,0.53852,0.138,-13.68766817
0.34043,0.5131,0.14647,-13.87658287
0.36456,0.49023,0.14521,-14.08795393
0.4112,0.44501,0.14379,-14.33735737
0.29429,0.55526,0.15045,-14.19372232
0.27088,0.58775,0.14137,-13.95188462
0.27088,0.58775,0.14137,-13.75629489
0.23216,0.62528,0.14256,-13.48461899
0.23216,0.62528,0.14256,-13.35805417
0.23216,0.62528,0.14256,-13.36130313
0.22193,0.64043,0.13764,-13.33506202
0.20872,0.66375,0.12753,-13.16274562
0.19012,0.67126,0.13862,-13.14679293
0.15251,0.71779,0.1297,-13.11757167
0.15251,0.71779,0.1297,-13.10249992
0.11883,0.74038,0.14079,-13.1000991
0.11475,0.74656,0.13869,-13.12166035
0.11475,0.74656,0.13869,-13.0836682
0.09295,0.76283,0.14422,-13.17348594
0.08853,0.7586,0.15287,-13.20144603
0.08442,0.73549,0.18009,-13.18406845
0.08992,0.78337,0.12671,-13.02313669
0.08603,0.78603,0.12794,-13.09927684
0.10007,0.77454,0.12539,-13.0454073
0.10924,0.76637,0.12439,-13.0219122
0.10225,0.76964,0.12811,-13.01475905
0.13769,0.7496,0.11271,-13.06113168
0.15059,0.71979,0.12962,-13.08412023
0.15964,0.71789,0.12247,-13.10337624
0.17744,0.68275,0.13981,-13.22836549
0.18649,0.67676,0.13675,-13.26141999
0.19605,0.67007,0.13388,-13.30115075
0.21774,0.65238,0.12988,-13.54093486
0.25402,0.6013,0.14468,-13.63569483
0.21774,0.65238,0.12988,-13.68029239
0.21774,0.65238,0.12988,-13.46832186
0.18768,0.67741,0.13491,-13.23587246
0.15344,0.71914,0.12742,-13.21385005
0.14077,0.7324,0.12683,-13.21193491
0.13174,0.74778,0.12048,-13.00634557
0.12228,0.76446,0.11326,-12.97892239
0.11333,0.7713,0.11537,-12.96659233
0.11232,0.77674,0.11094,-12.97024297
0.09655,0.79803,0.10542,-12.95578961
0.09045,0.80109,0.10846,-12.97635253
0.08603,0.78603,0.12794,-12.97016998
0.09655,0.79803,0.10542,-12.92450414
0.09655,0.79803,0.10542,-12.95491575
0.11232,0.77674,0.11094,-12.96221506
0.13174,0.74778,0.12048,-12.96927482
0.14077,0.7324,0.12683,-12.94779872
0.14077,0.7324,0.12683,-13.06043782
0.14077,0.7324,0.12683,-13.07475445
