Mn,Fe,Co,log(k*)400ºC (cm/s)
0.662650602,0.004016064,0.333333333,-10.82377324
0.658634538,0.004016064,0.337349398,-10.80161466
0.654618474,0.004016064,0.341365462,-10.78470744
0.65060241,0.004016064,0.345381526,-10.73729846
0.646586345,0.004016064,0.34939759,-10.6601064
0.642570281,0.004016064,0.353413655,-10.65115855
0.638554217,0.004016064,0.357429719,-10.60805188
0.634538153,0.004016064,0.361445783,-10.59860707
0.630522088,0.004016064,0.365461847,-10.50671882
0.626506024,0.004016064,0.369477912,-10.46778319
0.62248996,0.004016064,0.373493976,-10.45745888
0.618473896,0.004016064,0.37751004,-10.40723322
0.614457831,0.004016064,0.381526104,-10.40227978
0.610441767,0.004016064,0.385542169,-10.35385457
0.606425703,0.004016064,0.389558233,-10.33822618
0.602409639,0.004016064,0.393574297,-10.30350782
0.598393574,0.004016064,0.397590361,-10.27768456
0.59437751,0.004016064,0.401606426,-10.27072721
0.590361446,0.004016064,0.40562249,-10.26437172
0.586345382,0.004016064,0.409638554,-10.245949
0.582329317,0.004016064,0.413654618,-10.22207632
0.578313253,0.004016064,0.417670683,-10.21399305
0.574297189,0.004016064,0.421686747,-10.14996199
0.570281124,0.004016064,0.425702811,-10.1420566
0.56626506,0.004016064,0.429718876,-10.13583882
0.562248996,0.004016064,0.43373494,-10.13527862
0.558232932,0.004016064,0.437751004,-10.14037826
0.554216867,0.004016064,0.441767068,-10.13813134
0.550200803,0.004016064,0.445783133,-10.12640621
0.546184739,0.004016064,0.449799197,-10.12575994
0.542168675,0.004016064,0.453815261,-10.12575994
0.53815261,0.004016064,0.457831325,-10.12575994
0.534136546,0.004016064,0.46184739,-10.12264886
0.530120482,0.004016064,0.465863454,-10.12121604
0.526104418,0.004016064,0.469879518,-10.1112999
0.522088353,0.004016064,0.473895582,-10.10918931
0.518072289,0.004016064,0.477911647,-10.1001156
0.514056225,0.004016064,0.481927711,-10.0881905
0.510040161,0.004016064,0.485943775,-10.05966905
0.506024096,0.004016064,0.489959839,-10.04620236
0.502008032,0.004016064,0.493975904,-10.03857502
0.497991968,0.004016064,0.497991968,-10.02285632
0.493975904,0.004016064,0.502008032,-10.02002226
0.489959839,0.004016064,0.506024096,-9.955486935
0.485943775,0.004016064,0.510040161,-9.953396523
0.481927711,0.004016064,0.514056225,-9.916063177
0.477911647,0.004016064,0.518072289,-9.88022663
0.473895582,0.004016064,0.522088353,-9.523637051
0.469879518,0.004016064,0.526104418,-9.436447964
0.465863454,0.004016064,0.530120482,-9.378614495
0.46184739,0.004016064,0.534136546,-9.212555899
0.457831325,0.004016064,0.53815261,-9.187413875
0.453815261,0.004016064,0.542168675,-9.187413875
0.449799197,0.004016064,0.546184739,-9.187413875
0.445783133,0.004016064,0.550200803,-9.182528399
0.441767068,0.004016064,0.554216867,-9.182528399
0.437751004,0.004016064,0.558232932,-9.180127944
0.43373494,0.004016064,0.562248996,-9.180127944
0.429718876,0.004016064,0.56626506,-9.180127944
0.425702811,0.004016064,0.570281124,-9.180127944
0.421686747,0.004016064,0.574297189,-9.178653435
0.417670683,0.004016064,0.578313253,-9.178653435
0.413654618,0.004016064,0.582329317,-9.178653435
0.409638554,0.004016064,0.586345382,-9.17706386
0.40562249,0.004016064,0.590361446,-9.175798723
0.401606426,0.004016064,0.59437751,-9.17484787
0.397590361,0.004016064,0.598393574,-9.16021559
0.393574297,0.004016064,0.602409639,-9.144534794
0.389558233,0.004016064,0.606425703,-9.140471533
0.385542169,0.004016064,0.610441767,-9.134667266
0.381526104,0.004016064,0.614457831,-9.128647053
0.37751004,0.004016064,0.618473896,-9.126737617
0.373493976,0.004016064,0.62248996,-9.122419533
0.369477912,0.004016064,0.626506024,-9.122419533
0.365461847,0.004016064,0.630522088,-9.122419533
0.361445783,0.004016064,0.634538153,-9.121480811
0.357429719,0.004016064,0.638554217,-9.121480811
0.353413655,0.004016064,0.642570281,-9.121480811
0.34939759,0.004016064,0.646586345,-9.114551662
0.345381526,0.004016064,0.65060241,-9.1116846
0.341365462,0.004016064,0.654618474,-9.109302187
0.337349398,0.004016064,0.658634538,-9.109302187
0.333333333,0.004016064,0.662650602,-9.10784114
0.329317269,0.004016064,0.666666667,-9.10784114
0.325301205,0.004016064,0.670682731,-9.10784114
0.321285141,0.004016064,0.674698795,-9.10784114
0.317269076,0.004016064,0.678714859,-9.10784114
0.313253012,0.004016064,0.682730924,-9.105998798
0.309236948,0.004016064,0.686746988,-9.105998798
0.305220884,0.004016064,0.690763052,-9.10485291
0.301204819,0.004016064,0.694779116,-9.10485291
0.297188755,0.004016064,0.698795181,-9.10485291
0.293172691,0.004016064,0.702811245,-9.10137841
0.289156627,0.004016064,0.706827309,-9.100077583
0.285140562,0.004016064,0.710843373,-9.098331882
0.281124498,0.004016064,0.714859438,-9.098331882
0.277108434,0.004016064,0.718875502,-9.092456378
0.273092369,0.004016064,0.722891566,-9.086065437
0.269076305,0.004016064,0.726907631,-9.066996545
0.265060241,0.004016064,0.730923695,-9.066996545
0.261044177,0.004016064,0.734939759,-9.063904271
0.257028112,0.004016064,0.738955823,-9.063904271
0.253012048,0.004016064,0.742971888,-9.056700219
0.248995984,0.004016064,0.746987952,-8.999198559
0.24497992,0.004016064,0.751004016,-8.99458686
0.240963855,0.004016064,0.75502008,-8.982813857
0.236947791,0.004016064,0.759036145,-8.975733716
0.232931727,0.004016064,0.763052209,-8.958829705
0.228915663,0.004016064,0.767068273,-8.955726452
0.224899598,0.004016064,0.771084337,-8.948722589
