Mn,Fe,Co,ASR600ºC (Ω·cm2)
0.883534137,0.008032129,0.108433735,107.4627882
0.879518072,0.008032129,0.112449799,107.4627882
0.875502008,0.008032129,0.116465863,107.4627882
0.871485944,0.008032129,0.120481928,107.4627882
0.86746988,0.008032129,0.124497992,107.4627882
0.863453815,0.008032129,0.128514056,107.4627882
0.859437751,0.008032129,0.13253012,107.4627882
0.855421687,0.008032129,0.136546185,107.2233234
0.851405622,0.008032129,0.140562249,107.2233234
0.847389558,0.008032129,0.144578313,107.2233234
0.843373494,0.008032129,0.148594378,107.2233234
0.83935743,0.008032129,0.152610442,107.2233234
0.835341365,0.008032129,0.156626506,107.2233234
0.831325301,0.008032129,0.16064257,107.2233234
0.827309237,0.008032129,0.164658635,107.2233234
0.823293173,0.008032129,0.168674699,107.2233234
0.819277108,0.008032129,0.172690763,107.2233234
0.815261044,0.008032129,0.176706827,107.2233234
0.81124498,0.008032129,0.180722892,107.2233234
0.807228916,0.008032129,0.184738956,107.2233234
0.803212851,0.008032129,0.18875502,106.9051425
0.799196787,0.008032129,0.192771084,106.9051425
0.795180723,0.008032129,0.196787149,106.4505127
0.791164659,0.008032129,0.200803213,106.4505127
0.787148594,0.008032129,0.204819277,106.4505127
0.78313253,0.008032129,0.208835341,106.4505127
0.779116466,0.008032129,0.212851406,106.4505127
0.775100402,0.008032129,0.21686747,106.4505127
0.771084337,0.008032129,0.220883534,106.4505127
0.767068273,0.008032129,0.224899598,106.4505127
0.763052209,0.008032129,0.228915663,106.4505127
0.759036145,0.008032129,0.232931727,106.4505127
0.75502008,0.008032129,0.236947791,106.4505127
0.751004016,0.008032129,0.240963855,106.4505127
0.746987952,0.008032129,0.24497992,106.4505127
0.742971888,0.008032129,0.248995984,106.4505127
0.738955823,0.008032129,0.253012048,105.9250616
0.734939759,0.008032129,0.257028112,105.9250616
0.730923695,0.008032129,0.261044177,105.9250616
0.726907631,0.008032129,0.265060241,105.4406423
0.722891566,0.008032129,0.269076305,103.3305592
0.718875502,0.008032129,0.273092369,103.3305592
0.714859438,0.008032129,0.277108434,96.20366993
0.710843373,0.008032129,0.281124498,96.20366993
0.706827309,0.008032129,0.285140562,96.20366993
0.702811245,0.008032129,0.289156627,95.74221273
0.698795181,0.008032129,0.293172691,95.74221273
0.694779116,0.008032129,0.297188755,93.59174733
0.690763052,0.008032129,0.301204819,89.54410095
0.686746988,0.008032129,0.305220884,89.54410095
0.682730924,0.008032129,0.309236948,86.868953
0.678714859,0.008032129,0.313253012,84.57983937
0.674698795,0.008032129,0.317269076,83.7037745
0.670682731,0.008032129,0.321285141,83.8077243
0.666666667,0.008032129,0.325301205,83.09343488
0.662650602,0.008032129,0.329317269,82.97718141
0.658634538,0.008032129,0.333333333,81.48564774
0.654618474,0.008032129,0.337349398,79.82975887
0.65060241,0.008032129,0.341365462,75.86605669
0.646586345,0.008032129,0.345381526,63.79613376
0.642570281,0.008032129,0.34939759,62.99733163
0.638554217,0.008032129,0.353413655,61.66607568
0.634538153,0.008032129,0.357429719,60.21362297
0.630522088,0.008032129,0.361445783,55.3028199
0.626506024,0.008032129,0.365461847,54.09985694
0.62248996,0.008032129,0.369477912,51.6793364
0.618473896,0.008032129,0.373493976,48.81388901
0.614457831,0.008032129,0.37751004,48.12807584
0.610441767,0.008032129,0.381526104,45.83791136
0.606425703,0.008032129,0.385542169,45.533562
0.602409639,0.008032129,0.389558233,45.21537926
0.598393574,0.008032129,0.393574297,44.20709776
0.59437751,0.008032129,0.397590361,43.86249359
0.590361446,0.008032129,0.401606426,43.90917509
0.586345382,0.008032129,0.40562249,43.83647804
0.582329317,0.008032129,0.409638554,43.25689694
0.578313253,0.008032129,0.413654618,42.99070593
0.574297189,0.008032129,0.417670683,41.42891897
0.570281124,0.008032129,0.421686747,41.28418128
0.56626506,0.008032129,0.425702811,41.16440953
0.562248996,0.008032129,0.429718876,41.02843123
0.558232932,0.008032129,0.43373494,41.07997447
0.554216867,0.008032129,0.437751004,40.56916827
0.550200803,0.008032129,0.441767068,40.4121845
0.546184739,0.008032129,0.445783133,40.61317867
0.542168675,0.008032129,0.449799197,40.61317867
0.53815261,0.008032129,0.453815261,40.61317867
0.534136546,0.008032129,0.457831325,40.56794315
0.530120482,0.008032129,0.46184739,40.67539325
