Mn,Fe,Co,Area Specific Resistance at 700C - ASR_700 C (ohm cm^2)
0.614457831,0.004016064,0.381526104,9.376285102
0.610441767,0.004016064,0.385542169,9.160200114
0.606425703,0.004016064,0.389558233,9.141543636
0.602409639,0.004016064,0.393574297,9.12419213
0.598393574,0.004016064,0.397590361,8.98571914
0.59437751,0.004016064,0.401606426,8.954722512
0.590361446,0.004016064,0.40562249,8.959252664
0.586345382,0.004016064,0.409638554,8.892061896
0.582329317,0.004016064,0.413654618,8.794828521
0.578313253,0.004016064,0.417670683,8.749198319
0.574297189,0.004016064,0.421686747,8.493737347
0.570281124,0.004016064,0.425702811,8.455765414
0.56626506,0.004016064,0.429718876,8.40720536
0.562248996,0.004016064,0.43373494,8.361611633
0.558232932,0.004016064,0.437751004,8.343984624
0.554216867,0.004016064,0.441767068,8.235534956
0.550200803,0.004016064,0.445783133,8.168957884
0.546184739,0.004016064,0.449799197,8.162476995
0.542168675,0.004016064,0.453815261,8.162476995
0.53815261,0.004016064,0.457831325,8.162476995
0.534136546,0.004016064,0.46184739,8.160771848
0.530120482,0.004016064,0.465863454,8.16757711
0.526104418,0.004016064,0.469879518,8.176306574
0.522088353,0.004016064,0.473895582,8.168845286
0.518072289,0.004016064,0.477911647,8.152101385
0.514056225,0.004016064,0.481927711,8.160586568
0.510040161,0.004016064,0.485943775,8.208793468
0.506024096,0.004016064,0.489959839,8.350758249
0.502008032,0.004016064,0.493975904,8.37844831
0.497991968,0.004016064,0.497991968,8.42735153
0.493975904,0.004016064,0.502008032,8.410296238
0.489959839,0.004016064,0.506024096,8.361903257
0.485943775,0.004016064,0.510040161,8.361122247
0.481927711,0.004016064,0.514056225,8.314164382
0.477911647,0.004016064,0.518072289,8.368359945
0.473895582,0.004016064,0.522088353,9.345007435
0.469879518,0.004016064,0.526104418,9.416794623
0.465863454,0.004016064,0.530120482,9.486952726
0.46184739,0.004016064,0.534136546,9.42915464
0.457831325,0.004016064,0.53815261,9.387634809
0.453815261,0.004016064,0.542168675,9.387634809
0.449799197,0.004016064,0.546184739,9.387634809
0.445783133,0.004016064,0.550200803,9.291626224
0.441767068,0.004016064,0.554216867,9.291626224
0.437751004,0.004016064,0.558232932,9.253431139
0.43373494,0.004016064,0.562248996,9.253431139
0.429718876,0.004016064,0.56626506,9.253431139
0.425702811,0.004016064,0.570281124,9.253431139
0.421686747,0.004016064,0.574297189,9.253203878
0.417670683,0.004016064,0.578313253,9.253203878
0.413654618,0.004016064,0.582329317,9.253203878
0.409638554,0.004016064,0.586345382,9.252978992
0.40562249,0.004016064,0.590361446,9.25278652
0.401606426,0.004016064,0.59437751,9.252646108
0.397590361,0.004016064,0.598393574,9.231511539
0.393574297,0.004016064,0.602409639,9.209847747
0.389558233,0.004016064,0.606425703,9.190456588
0.385542169,0.004016064,0.610441767,9.189478787
0.381526104,0.004016064,0.614457831,9.188590658
0.37751004,0.004016064,0.618473896,9.188178779
0.373493976,0.004016064,0.62248996,9.168669482
0.369477912,0.004016064,0.626506024,9.168669482
0.365461847,0.004016064,0.630522088,9.168669482
0.361445783,0.004016064,0.634538153,9.168505117
0.357429719,0.004016064,0.638554217,9.168505117
0.353413655,0.004016064,0.642570281,9.168505117
0.34939759,0.004016064,0.646586345,9.167533752
0.345381526,0.004016064,0.65060241,9.167068122
0.341365462,0.004016064,0.654618474,9.17550516
0.337349398,0.004016064,0.658634538,9.17550516
0.333333333,0.004016064,0.662650602,9.175286101
0.329317269,0.004016064,0.666666667,9.175286101
0.325301205,0.004016064,0.670682731,9.175286101
0.321285141,0.004016064,0.674698795,9.175286101
0.317269076,0.004016064,0.678714859,9.175286101
0.313253012,0.004016064,0.682730924,9.17511529
0.309236948,0.004016064,0.686746988,9.17511529
0.305220884,0.004016064,0.690763052,9.202453009
0.301204819,0.004016064,0.694779116,9.202453009
0.297188755,0.004016064,0.698795181,9.202453009
0.293172691,0.004016064,0.702811245,9.090038979
0.289156627,0.004016064,0.706827309,9.052880852
0.285140562,0.004016064,0.710843373,9.034161516
0.281124498,0.004016064,0.714859438,9.034161516
0.277108434,0.004016064,0.718875502,8.96020681
0.273092369,0.004016064,0.722891566,8.9231898
0.269076305,0.004016064,0.726907631,8.921919186
0.265060241,0.004016064,0.730923695,8.921919186
0.261044177,0.004016064,0.734939759,8.921887201
0.257028112,0.004016064,0.738955823,8.921887201
0.253012048,0.004016064,0.742971888,8.933301043
0.248995984,0.004016064,0.746987952,8.931652886
0.24497992,0.004016064,0.751004016,8.943298423
0.240963855,0.004016064,0.75502008,8.966426602
0.236947791,0.004016064,0.759036145,9.02538444
0.232931727,0.004016064,0.763052209,8.964733817
0.228915663,0.004016064,0.767068273,8.917565819
0.224899598,0.004016064,0.771084337,8.916803998
0.220883534,0.004016064,0.775100402,8.916803998
0.21686747,0.004016064,0.779116466,8.915992788
0.212851406,0.004016064,0.78313253,8.915662579
0.208835341,0.004016064,0.787148594,8.915333089
0.204819277,0.004016064,0.791164659,8.915333089
0.200803213,0.004016064,0.795180723,8.915333089
0.196787149,0.004016064,0.799196787,8.914583612
0.192771084,0.004016064,0.803212851,8.914458151
0.18875502,0.004016064,0.807228916,8.914458151
0.184738956,0.004016064,0.81124498,8.914458151
0.180722892,0.004016064,0.815261044,8.914425235
0.176706827,0.004016064,0.819277108,8.914425235
0.172690763,0.004016064,0.823293173,8.914425235
0.168674699,0.004016064,0.827309237,8.914425235
0.164658635,0.004016064,0.831325301,8.914425235
0.16064257,0.004016064,0.835341365,8.914425235
0.156626506,0.004016064,0.83935743,8.914425235
0.152610442,0.004016064,0.843373494,8.914425235
0.148594378,0.004016064,0.847389558,8.914425235
0.144578313,0.004016064,0.851405622,8.914357876
0.140562249,0.004016064,0.855421687,8.914357876
0.136546185,0.004016064,0.859437751,8.914356859
0.13253012,0.004016064,0.863453815,8.914356859
0.128514056,0.004016064,0.86746988,8.914389566
0.124497992,0.004016064,0.871485944,8.914363852
0.120481928,0.004016064,0.875502008,8.914349677
0.116465863,0.004016064,0.879518072,8.914349677
0.112449799,0.004016064,0.883534137,8.914349677
0.108433735,0.004016064,0.887550201,8.914349677
0.104417671,0.004016064,0.891566265,8.914349677
0.100401606,0.004016064,0.895582329,8.914349677
0.096385542,0.004016064,0.899598394,8.914349677
0.092369478,0.004016064,0.903614458,8.914349677
0.088353414,0.004016064,0.907630522,8.914349677
0.084337349,0.004016064,0.911646586,8.914349677
0.080321285,0.004016064,0.915662651,8.914349677
0.076305221,0.004016064,0.919678715,8.914349677
0.072289157,0.004016064,0.923694779,8.914349677
0.068273092,0.004016064,0.927710843,8.914349677
0.064257028,0.004016064,0.931726908,8.914349677
0.060240964,0.004016064,0.935742972,8.914349677
0.0562249,0.004016064,0.939759036,8.914349677
0.052208835,0.004016064,0.9437751,8.914349677
0.048192771,0.004016064,0.947791165,8.914349677
0.044176707,0.004016064,0.951807229,8.914349677
0.040160643,0.004016064,0.955823293,8.914349677
0.036144578,0.004016064,0.959839357,8.914349677
0.032128514,0.004016064,0.963855422,8.914349677
0.02811245,0.004016064,0.967871486,8.914349677
0.024096386,0.004016064,0.97188755,8.914349677
0.020080321,0.004016064,0.975903614,8.914349677
0.016064257,0.004016064,0.979919679,8.914349677
0.012048193,0.004016064,0.983935743,8.914349677
0.008032129,0.004016064,0.987951807,8.914349677
0.004016064,0.004016064,0.991967871,8.914349677
0,0.004016064,0.995983936,8.914349677
0.991967871,0.008032129,0,12.15414588
0.987951807,0.008032129,0.004016064,12.15414588
0.983935743,0.008032129,0.008032129,12.15414588
0.979919679,0.008032129,0.012048193,12.15414588
0.975903614,0.008032129,0.016064257,12.15414588
0.97188755,0.008032129,0.020080321,12.15414588
0.967871486,0.008032129,0.024096386,12.15414588
0.963855422,0.008032129,0.02811245,12.15414588
0.959839357,0.008032129,0.032128514,12.15414588
0.955823293,0.008032129,0.036144578,12.15414588
0.951807229,0.008032129,0.040160643,12.15414588
0.947791165,0.008032129,0.044176707,12.15414588
0.9437751,0.008032129,0.048192771,12.15414588
0.939759036,0.008032129,0.052208835,12.15414588
0.935742972,0.008032129,0.0562249,12.15414588
0.931726908,0.008032129,0.060240964,12.15414588
0.927710843,0.008032129,0.064257028,12.15414588
0.923694779,0.008032129,0.068273092,12.15414588
0.919678715,0.008032129,0.072289157,12.15414588
0.915662651,0.008032129,0.076305221,12.15414588
0.911646586,0.008032129,0.080321285,12.15414588
0.907630522,0.008032129,0.084337349,12.15414588
0.903614458,0.008032129,0.088353414,12.15414588
0.899598394,0.008032129,0.092369478,12.15414588
0.895582329,0.008032129,0.096385542,12.15414588
0.891566265,0.008032129,0.100401606,12.15414588
0.887550201,0.008032129,0.104417671,12.15414588
0.883534137,0.008032129,0.108433735,12.15414588
0.879518072,0.008032129,0.112449799,12.15414588
0.875502008,0.008032129,0.116465863,12.15414588
0.871485944,0.008032129,0.120481928,12.15414588
0.86746988,0.008032129,0.124497992,12.15414588
0.863453815,0.008032129,0.128514056,12.15414588
0.859437751,0.008032129,0.13253012,12.15414588
0.855421687,0.008032129,0.136546185,12.15669708
0.851405622,0.008032129,0.140562249,12.15669708
0.847389558,0.008032129,0.144578313,12.15669708
0.843373494,0.008032129,0.148594378,12.15669708
0.83935743,0.008032129,0.152610442,12.15669708
0.835341365,0.008032129,0.156626506,12.15669708
