Mn,Fe,Co,Oxygen Diffusion Coefficient - log(D*)_400C (cm^2/s)
0.34939759,0.004016064,0.646586345,-13.33048866
0.345381526,0.004016064,0.65060241,-13.32616963
0.341365462,0.004016064,0.654618474,-13.3228941
0.337349398,0.004016064,0.658634538,-13.3228941
0.333333333,0.004016064,0.662650602,-13.32069313
0.329317269,0.004016064,0.666666667,-13.32069313
0.325301205,0.004016064,0.670682731,-13.32069313
0.321285141,0.004016064,0.674698795,-13.32069313
0.317269076,0.004016064,0.678714859,-13.32069313
0.313253012,0.004016064,0.682730924,-13.31791777
0.309236948,0.004016064,0.686746988,-13.31791777
0.305220884,0.004016064,0.690763052,-13.31640051
0.301204819,0.004016064,0.694779116,-13.31640051
0.297188755,0.004016064,0.698795181,-13.31640051
0.293172691,0.004016064,0.702811245,-13.31116643
0.289156627,0.004016064,0.706827309,-13.30920683
0.285140562,0.004016064,0.710843373,-13.30657706
0.281124498,0.004016064,0.714859438,-13.30657706
0.277108434,0.004016064,0.718875502,-13.29772603
0.273092369,0.004016064,0.722891566,-13.28809853
0.269076305,0.004016064,0.726907631,-13.25937258
0.265060241,0.004016064,0.730923695,-13.25937258
0.261044177,0.004016064,0.734939759,-13.25471429
0.257028112,0.004016064,0.738955823,-13.25471429
0.253012048,0.004016064,0.742971888,-13.24386189
0.248995984,0.004016064,0.746987952,-13.15723972
0.24497992,0.004016064,0.751004016,-13.15029252
0.240963855,0.004016064,0.75502008,-13.13255733
0.236947791,0.004016064,0.759036145,-13.12189159
0.232931727,0.004016064,0.763052209,-13.09642687
0.228915663,0.004016064,0.767068273,-13.09175203
0.224899598,0.004016064,0.771084337,-13.08120119
0.220883534,0.004016064,0.775100402,-13.08120119
0.21686747,0.004016064,0.779116466,-13.06910569
0.212851406,0.004016064,0.78313253,-13.06681689
0.208835341,0.004016064,0.787148594,-13.06150247
0.204819277,0.004016064,0.791164659,-13.06150247
0.200803213,0.004016064,0.795180723,-13.06150247
0.196787149,0.004016064,0.799196787,-13.0480664
0.192771084,0.004016064,0.803212851,-13.04577665
0.18875502,0.004016064,0.807228916,-13.04577665
0.184738956,0.004016064,0.81124498,-13.04577665
0.180722892,0.004016064,0.815261044,-13.04411358
0.176706827,0.004016064,0.819277108,-13.04411358
0.172690763,0.004016064,0.823293173,-13.04411358
0.168674699,0.004016064,0.827309237,-13.04411358
0.164658635,0.004016064,0.831325301,-13.04411358
0.16064257,0.004016064,0.835341365,-13.04411358
0.156626506,0.004016064,0.83935743,-13.04411358
0.152610442,0.004016064,0.843373494,-13.04411358
0.148594378,0.004016064,0.847389558,-13.04411358
0.144578313,0.004016064,0.851405622,-13.03918033
0.140562249,0.004016064,0.855421687,-13.03918033
0.136546185,0.004016064,0.859437751,-13.03795681
0.13253012,0.004016064,0.863453815,-13.03795681
0.128514056,0.004016064,0.86746988,-13.02920925
0.124497992,0.004016064,0.871485944,-13.01343349
0.120481928,0.004016064,0.875502008,-13.01242042
0.116465863,0.004016064,0.879518072,-13.01242042
0.112449799,0.004016064,0.883534137,-13.01242042
0.108433735,0.004016064,0.887550201,-13.01242042
0.104417671,0.004016064,0.891566265,-13.01242042
0.100401606,0.004016064,0.895582329,-13.01242042
0.096385542,0.004016064,0.899598394,-13.01242042
0.092369478,0.004016064,0.903614458,-13.01242042
0.088353414,0.004016064,0.907630522,-13.01242042
0.084337349,0.004016064,0.911646586,-13.01242042
0.080321285,0.004016064,0.915662651,-13.01242042
0.076305221,0.004016064,0.919678715,-13.01242042
0.072289157,0.004016064,0.923694779,-13.01242042
0.068273092,0.004016064,0.927710843,-13.01242042
0.064257028,0.004016064,0.931726908,-13.01242042
0.060240964,0.004016064,0.935742972,-13.01242042
0.0562249,0.004016064,0.939759036,-13.01242042
0.052208835,0.004016064,0.9437751,-13.01242042
0.048192771,0.004016064,0.947791165,-13.01242042
0.044176707,0.004016064,0.951807229,-13.01242042
0.040160643,0.004016064,0.955823293,-13.01242042
0.036144578,0.004016064,0.959839357,-13.01242042
0.032128514,0.004016064,0.963855422,-13.01242042
0.02811245,0.004016064,0.967871486,-13.01242042
0.024096386,0.004016064,0.97188755,-13.01242042
0.020080321,0.004016064,0.975903614,-13.01242042
0.016064257,0.004016064,0.979919679,-13.01242042
0.012048193,0.004016064,0.983935743,-13.01242042
0.008032129,0.004016064,0.987951807,-13.01242042
0.004016064,0.004016064,0.991967871,-13.01242042
0,0.004016064,0.995983936,-13.01242042
0.991967871,0.008032129,0,-16.16058438
0.987951807,0.008032129,0.004016064,-16.16058438
0.983935743,0.008032129,0.008032129,-16.16058438
0.979919679,0.008032129,0.012048193,-16.16058438
0.975903614,0.008032129,0.016064257,-16.16058438
0.97188755,0.008032129,0.020080321,-16.16058438
0.967871486,0.008032129,0.024096386,-16.16058438
0.963855422,0.008032129,0.02811245,-16.16058438
0.959839357,0.008032129,0.032128514,-16.16058438
0.955823293,0.008032129,0.036144578,-16.16058438
0.951807229,0.008032129,0.040160643,-16.16058438
0.947791165,0.008032129,0.044176707,-16.16058438
0.9437751,0.008032129,0.048192771,-16.16058438
0.939759036,0.008032129,0.052208835,-16.16058438
0.935742972,0.008032129,0.0562249,-16.16058438
0.931726908,0.008032129,0.060240964,-16.16058438
0.927710843,0.008032129,0.064257028,-16.16058438
0.923694779,0.008032129,0.068273092,-16.16058438
0.919678715,0.008032129,0.072289157,-16.16058438
0.915662651,0.008032129,0.076305221,-16.16058438
0.911646586,0.008032129,0.080321285,-16.16058438
0.907630522,0.008032129,0.084337349,-16.16058438
0.903614458,0.008032129,0.088353414,-16.16058438
0.899598394,0.008032129,0.092369478,-16.16058438
0.895582329,0.008032129,0.096385542,-16.16058438
0.891566265,0.008032129,0.100401606,-16.16058438
0.887550201,0.008032129,0.104417671,-16.16058438
0.883534137,0.008032129,0.108433735,-16.16058438
0.879518072,0.008032129,0.112449799,-16.16058438
0.875502008,0.008032129,0.116465863,-16.16058438
0.871485944,0.008032129,0.120481928,-16.16058438
0.86746988,0.008032129,0.124497992,-16.16058438
0.863453815,0.008032129,0.128514056,-16.16058438
0.859437751,0.008032129,0.13253012,-16.16058438
0.855421687,0.008032129,0.136546185,-16.1607467
0.851405622,0.008032129,0.140562249,-16.1607467
0.847389558,0.008032129,0.144578313,-16.1607467
0.843373494,0.008032129,0.148594378,-16.1607467
0.83935743,0.008032129,0.152610442,-16.1607467
0.835341365,0.008032129,0.156626506,-16.1607467
0.831325301,0.008032129,0.16064257,-16.1607467
0.827309237,0.008032129,0.164658635,-16.1607467
0.823293173,0.008032129,0.168674699,-16.1607467
0.819277108,0.008032129,0.172690763,-16.1607467
0.815261044,0.008032129,0.176706827,-16.1607467
0.81124498,0.008032129,0.180722892,-16.1607467
0.807228916,0.008032129,0.184738956,-16.1607467
0.803212851,0.008032129,0.18875502,-16.16060537
0.799196787,0.008032129,0.192771084,-16.16060537
0.795180723,0.008032129,0.196787149,-16.16009495
0.791164659,0.008032129,0.200803213,-16.16009495
0.787148594,0.008032129,0.204819277,-16.16009495
0.78313253,0.008032129,0.208835341,-16.16009495
0.779116466,0.008032129,0.212851406,-16.16009495
0.775100402,0.008032129,0.21686747,-16.16009495
0.771084337,0.008032129,0.220883534,-16.16009495
0.767068273,0.008032129,0.224899598,-16.16009495
0.763052209,0.008032129,0.228915663,-16.16009495
0.759036145,0.008032129,0.232931727,-16.16009495
0.75502008,0.008032129,0.236947791,-16.16009495
0.751004016,0.008032129,0.240963855,-16.16009495
0.746987952,0.008032129,0.24497992,-16.16009495
0.742971888,0.008032129,0.248995984,-16.16009495
0.738955823,0.008032129,0.253012048,-16.15651515
0.734939759,0.008032129,0.257028112,-16.15651515
0.730923695,0.008032129,0.261044177,-16.15651515
0.726907631,0.008032129,0.265060241,-16.15225365
0.722891566,0.008032129,0.269076305,-16.1401754
0.718875502,0.008032129,0.273092369,-16.1401754
0.714859438,0.008032129,0.277108434,-16.08565824
0.710843373,0.008032129,0.281124498,-16.08565824
0.706827309,0.008032129,0.285140562,-16.08565824
0.702811245,0.008032129,0.289156627,-16.08140645
0.698795181,0.008032129,0.293172691,-16.08140645
0.694779116,0.008032129,0.297188755,-16.05574628
0.690763052,0.008032129,0.301204819,-15.99586835
0.686746988,0.008032129,0.305220884,-15.99586835
0.682730924,0.008032129,0.309236948,-15.93715691
0.678714859,0.008032129,0.313253012,-15.87666846
0.674698795,0.008032129,0.317269076,-15.85094319
0.670682731,0.008032129,0.321285141,-15.85227563
0.666666667,0.008032129,0.325301205,-15.83829571
0.662650602,0.008032129,0.329317269,-15.8320993
0.658634538,0.008032129,0.333333333,-15.80196379
0.654618474,0.008032129,0.337349398,-15.78083922
0.65060241,0.008032129,0.341365462,-15.72052621
0.646586345,0.008032129,0.345381526,-15.63251694
0.642570281,0.008032129,0.34939759,-15.6271263
0.638554217,0.008032129,0.353413655,-15.61209203
0.634538153,0.008032129,0.357429719,-15.54542161
0.630522088,0.008032129,0.361445783,-15.41802118
0.626506024,0.008032129,0.365461847,-15.38668485
0.62248996,0.008032129,0.369477912,-15.32866301
0.618473896,0.008032129,0.373493976,-15.25951466
0.614457831,0.008032129,0.37751004,-15.24316508
