Mn,Fe,Co,Activation Energy - E_a (eV)
0.204819277,0.004016064,0.791164659,1.848703122
0.200803213,0.004016064,0.795180723,1.848703122
0.196787149,0.004016064,0.799196787,1.848670543
0.192771084,0.004016064,0.803212851,1.848666529
0.18875502,0.004016064,0.807228916,1.848666529
0.184738956,0.004016064,0.81124498,1.848666529
0.180722892,0.004016064,0.815261044,1.848666185
0.176706827,0.004016064,0.819277108,1.848666185
0.172690763,0.004016064,0.823293173,1.848666185
0.168674699,0.004016064,0.827309237,1.848666185
0.164658635,0.004016064,0.831325301,1.848666185
0.16064257,0.004016064,0.835341365,1.848666185
0.156626506,0.004016064,0.83935743,1.848666185
0.152610442,0.004016064,0.843373494,1.848666185
0.148594378,0.004016064,0.847389558,1.848666185
0.144578313,0.004016064,0.851405622,1.848666185
0.140562249,0.004016064,0.855421687,1.848666185
0.136546185,0.004016064,0.859437751,1.848666682
0.13253012,0.004016064,0.863453815,1.848666682
0.128514056,0.004016064,0.86746988,1.848671808
0.124497992,0.004016064,0.871485944,1.848678455
0.120481928,0.004016064,0.875502008,1.848678474
0.116465863,0.004016064,0.879518072,1.848678474
0.112449799,0.004016064,0.883534137,1.848678474
0.108433735,0.004016064,0.887550201,1.848678474
0.104417671,0.004016064,0.891566265,1.848678474
0.100401606,0.004016064,0.895582329,1.848678474
0.096385542,0.004016064,0.899598394,1.848678474
0.092369478,0.004016064,0.903614458,1.848678474
0.088353414,0.004016064,0.907630522,1.848678474
0.084337349,0.004016064,0.911646586,1.848678474
0.080321285,0.004016064,0.915662651,1.848678474
0.076305221,0.004016064,0.919678715,1.848678474
0.072289157,0.004016064,0.923694779,1.848678474
0.068273092,0.004016064,0.927710843,1.848678474
0.064257028,0.004016064,0.931726908,1.848678474
0.060240964,0.004016064,0.935742972,1.848678474
0.0562249,0.004016064,0.939759036,1.848678474
0.052208835,0.004016064,0.9437751,1.848678474
0.048192771,0.004016064,0.947791165,1.848678474
0.044176707,0.004016064,0.951807229,1.848678474
0.040160643,0.004016064,0.955823293,1.848678474
0.036144578,0.004016064,0.959839357,1.848678474
0.032128514,0.004016064,0.963855422,1.848678474
0.02811245,0.004016064,0.967871486,1.848678474
0.024096386,0.004016064,0.97188755,1.848678474
0.020080321,0.004016064,0.975903614,1.848678474
0.016064257,0.004016064,0.979919679,1.848678474
0.012048193,0.004016064,0.983935743,1.848678474
0.008032129,0.004016064,0.987951807,1.848678474
